class,bugs_5.4
org.traccar.reports.SummaryReportProvider,2
org.traccar.reports.TripsReportProvider,2
org.traccar.reports.common.ReportUtils,4
org.traccar.reports.model.BaseReportItem,4
org.traccar.reports.model.DeviceReportSection,1
org.traccar.schedule.TaskDeviceInactivityCheck,1
org.traccar.schedule.TaskHealthCheck,2
org.traccar.schedule.TaskWebSocketKeepalive,1
org.traccar.session.ConnectionManager,3
org.traccar.session.cache.CacheManager,5
org.traccar.session.state.MotionState,4
org.traccar.session.state.OverspeedState,4
org.traccar.storage.DatabaseStorage,3
org.traccar.storage.query.Columns$Include,1
org.traccar.web.ConsoleServlet,2
org.traccar.web.WebServer,1
